CityFacilityID(FK),WorkerID(FK),total,Jumlah Penduduk,Rasio,status,color
33,5,68,241423,0.0002816633,Rendah,#E6FFCC
34,5,96,203244,0.0004723387,Sedang,#99FF33
35,5,62,131216,0.0004725034,Sedang,#99FF33
36,5,56,177972,0.0003146562,Rendah,#E6FFCC
37,5,514,2918543,0.0001761153,Rendah,#E6FFCC
38,5,47,211225,0.0002225115,Rendah,#E6FFCC
39,5,68,557164,0.0001220467,Rendah,#D9B3FF
40,5,160,877121,0.0001824150,Rendah,#D9B3FF
41,5,73,699526,0.0001043564,Rendah,#D9B3FF
42,5,204,1047645,0.0001947224,Rendah,#D9B3FF
43,5,135,1167796,0.0001156024,Rendah,#D9B3FF
44,5,258,1587132,0.0001625574,Rendah,#D9B3FF
45,5,344,2637160,0.0001304434,Rendah,#D9B3FF
46,5,126,1047482,0.0001202885,Rendah,#D9B3FF
47,5,285,2471542,0.0001153126,Rendah,#D9B3FF
48,5,280,1622536,0.0001725694,Rendah,#D9B3FF
49,5,88,782676,0.0001124348,Rendah,#D9B3FF
50,5,209,689361,0.0003031793,Rendah,#D9B3FF
51,5,177,1182298,0.0001497084,Rendah,#D9B3FF
52,5,236,1650256,0.0001430081,Rendah,#D9B3FF
53,5,522,2321549,0.0002248499,Rendah,#D9B3FF
54,5,194,1136879,0.0001706426,Rendah,#D9B3FF
55,5,411,1274197,0.0003225561,Rendah,#D9B3FF
56,5,178,1060086,0.0001679109,Rendah,#D9B3FF
57,5,98,685490,0.0001429634,Rendah,#D9B3FF
58,5,187,636148,0.0002939568,Rendah,#D9B3FF
59,5,72,840327,0.0000856809,Rendah,#D9B3FF
60,5,249,1255119,0.0001983876,Rendah,#D9B3FF
61,5,114,1182070,0.0000964410,Rendah,#D9B3FF
62,5,270,1204437,0.0002241711,Rendah,#D9B3FF
63,5,377,1342628,0.0002807926,Rendah,#D9B3FF
64,5,199,1003188,0.0001983676,Rendah,#D9B3FF
65,5,69,1001140,0.0000689214,Rendah,#D9B3FF
66,5,126,898130,0.0001402915,Rendah,#D9B3FF
67,5,98,1096701,0.0000893589,Rendah,#D9B3FF
68,5,327,291256,0.0011227237,Tinggi,#400080
69,5,106,143840,0.0007369299,Sedang,#8C1AFF
70,5,601,880169,0.0006828234,Sedang,#8C1AFF
